""
"TEC System Name:","AY.VAV1-10","","Descriptor:",""
" 56","AY.VAV1-10:DMPR ROT ANG","","","90.0",""," -N-     NONE"
" 58","AY.VAV1-10:MTR SETUP","","","7.0",""," -N-     NONE"
" 59","AY.VAV1-10:DO DIR. REV","","","0.0",""," -N-     NONE"
" 63","AY.VAV1-10:CLG P GAIN","","","20.0",""," -N-     NONE"
" 64","AY.VAV1-10:CLG I GAIN","","","0.01",""," -N-     NONE"
" 65","AY.VAV1-10:CLG D GAIN","","","0.0",""," -N-     NONE"
" 66","AY.VAV1-10:CLG BIAS","","","0.0","PCT"," -N-     NONE"
" 67","AY.VAV1-10:HTG P GAIN","","","10.0",""," -N-     NONE"
" 68","AY.VAV1-10:HTG I GAIN","","","0.01",""," -N-     NONE"
" 69","AY.VAV1-10:HTG D GAIN","","","0.0",""," -N-     NONE"
" 70","AY.VAV1-10:HTG BIAS","","","0.0","PCT"," -N-     NONE"
" 71","AY.VAV1-10:FLOW P GAIN","","","0.0",""," -N-     NONE"
" 72","AY.VAV1-10:FLOW I GAIN","","","0.01",""," -N-     NONE"
" 73","AY.VAV1-10:FLOW D GAIN","","","0.0",""," -N-     NONE"
" 74","AY.VAV1-10:FLOW BIAS","","","50.0","PCT"," -N-     NONE"
" 75","AY.VAV1-10:FLOW","","","6.75","PCT"," -N-     NONE"
" 76","AY.VAV1-10:CTL FLOW MIN","","","92.0"," CFM"," -N-     NONE"
" 77","AY.VAV1-10:CTL FLOW MAX","","","1300.0"," CFM"," -N-     NONE"
" 78","AY.VAV1-10:CTL TEMP","","","71.0","DEG F"," -N-     NONE"
" 79","AY.VAV1-10:CLG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 80","AY.VAV1-10:HTG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 85","AY.VAV1-10:SWITCH LIMIT","","","5.2","PCT"," -N-     NONE"
" 86","AY.VAV1-10:SWITCH TIME","","","10.0","MIN"," -N-     NONE"
" 90","AY.VAV1-10:SWITCH DBAND","","","1.0","DEG F"," -N-     NONE"
" 92","AY.VAV1-10:CTL STPT","","","75.0","DEG F"," -N-     NONE"
" 93","AY.VAV1-10:FLOW STPT","","","7.0","PCT"," -N-     NONE"
" 94","AY.VAV1-10:CAL AIR","","","NO",""," -N-     NONE"
" 95","AY.VAV1-10:CAL SETUP","","","4.0",""," -N-     NONE"
" 96","AY.VAV1-10:CAL TIMER","","","12.0","HRS"," -N-     NONE"
" 97","AY.VAV1-10:DUCT AREA","","","0.775","SQ. FT"," -N-     NONE"
" 98","AY.VAV1-10:LOOP TIME","","","5.0","SEC"," -N-     NONE"
" 99","AY.VAV1-10:ERROR STATUS","","","0.0",""," -N-     NONE"
""
"TEC System Name:","AY.VAV1-6","","Descriptor:",""
"","AY.VAV1-6:ADDRESS","","","20",""," -N-     NONE"
"  2","AY.VAV1-6:APPLICATION","","","2520.0",""," -N-     NONE"
"  3","AY.VAV1-6:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","AY.VAV1-6:ROOM TEMP","","","71.25","DEG F"," -N-     OVRD"
"  6","AY.VAV1-6:DAY CLG STPT","","","73.0","DEG F"," -N-     NONE"
"  8","AY.VAV1-6:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
" 10","AY.VAV1-6:CHK OUT","","","NO",""," -N-     NONE"
" 11","AY.VAV1-6:RM STPT MIN","","","65.0","DEG F"," -N-     NONE"
" 12","AY.VAV1-6:RM STPT MAX","","","74.0","DEG F"," -N-     NONE"
" 13","AY.VAV1-6:RM STPT DIAL","","","74.0","DEG F"," -N-     OVRD"
" 14","AY.VAV1-6:STPT DIAL","","","NO",""," -N-     NONE"
" 19","AY.VAV1-6:DI OVRD SW","","","OFF",""," -N-     OVRD"
" 20","AY.VAV1-6:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","AY.VAV1-6:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 29","AY.VAV1-6:DAY.NGT","","","DAY",""," -N-     OVRD"
" 31","AY.VAV1-6:CLG FLOW MIN","","","60.0"," CFM"," -N-     NONE"
" 32","AY.VAV1-6:CLG FLOW MAX","","","916.0"," CFM"," -N-     NONE"
" 35","AY.VAV1-6:AIR VOLUME","","","56.0"," CFM"," -N-     NONE"
" 36","AY.VAV1-6:FLOW COEFF","","","0.48",""," -N-     NONE"
" 41","AY.VAV1-6:DO 1","","","OFF",""," -N-     NONE"
" 42","AY.VAV1-6:DO 2","","","OFF",""," -N-     NONE"
" 48","AY.VAV1-6:DMPR COMD","","","17.6","PCT"," -N-     NONE"
" 49","AY.VAV1-6:DMPR POS","","","17.6","PCT"," -N-     NONE"
" 51","AY.VAV1-6:MTR1 TIMING","","","95.0","SEC"," -N-     NONE"
" 56","AY.VAV1-6:DMPR ROT ANG","","","90.0",""," -N-     NONE"
" 58","AY.VAV1-6:MTR SETUP","","","7.0",""," -N-     NONE"
" 59","AY.VAV1-6:DO DIR. REV","","","0.0",""," -N-     NONE"
" 63","AY.VAV1-6:CLG P GAIN","","","20.0",""," -N-     NONE"
" 64","AY.VAV1-6:CLG I GAIN","","","0.01",""," -N-     NONE"
" 65","AY.VAV1-6:CLG D GAIN","","","0.0",""," -N-     NONE"
" 66","AY.VAV1-6:CLG BIAS","","","0.0","PCT"," -N-     NONE"
" 71","AY.VAV1-6:FLOW P GAIN","","","0.0",""," -N-     NONE"
" 72","AY.VAV1-6:FLOW I GAIN","","","0.01",""," -N-     NONE"
" 73","AY.VAV1-6:FLOW D GAIN","","","0.0",""," -N-     NONE"
" 74","AY.VAV1-6:FLOW BIAS","","","50.0","PCT"," -N-     NONE"
" 75","AY.VAV1-6:FLOW","","","6.5","PCT"," -N-     NONE"
" 76","AY.VAV1-6:CTL FLOW MIN","","","60.0"," CFM"," -N-     NONE"
" 77","AY.VAV1-6:CTL FLOW MAX","","","916.0"," CFM"," -N-     NONE"
" 78","AY.VAV1-6:CTL TEMP","","","71.25","DEG F"," -N-     NONE"
" 79","AY.VAV1-6:CLG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 92","AY.VAV1-6:CTL STPT","","","73.0","DEG F"," -N-     NONE"
" 93","AY.VAV1-6:FLOW STPT","","","6.5","PCT"," -N-     NONE"
" 94","AY.VAV1-6:CAL AIR","","","NO",""," -N-     NONE"
" 95","AY.VAV1-6:CAL SETUP","","","4.0",""," -N-     NONE"
" 96","AY.VAV1-6:CAL TIMER","","","12.0","HRS"," -N-     NONE"
" 97","AY.VAV1-6:DUCT AREA","","","0.55","SQ. FT"," -N-     NONE"
" 98","AY.VAV1-6:LOOP TIME","","","5.0","SEC"," -N-     NONE"
" 99","AY.VAV1-6:ERROR STATUS","","","0.0",""," -N-     NONE"
""
"TEC System Name:","AY.VAV1-7","","Descriptor:",""
"","AY.VAV1-7:ADDRESS","","","21",""," -N-     NONE"
"  2","AY.VAV1-7:APPLICATION","","","2520.0",""," -N-     NONE"
"  3","AY.VAV1-7:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","AY.VAV1-7:ROOM TEMP","","","70.25","DEG F"," -N-     OVRD"
"  6","AY.VAV1-7:DAY CLG STPT","","","73.0","DEG F"," -N-     NONE"
"  8","AY.VAV1-7:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
" 10","AY.VAV1-7:CHK OUT","","","NO",""," -N-     NONE"
" 11","AY.VAV1-7:RM STPT MIN","","","55.0","DEG F"," -N-     NONE"
" 12","AY.VAV1-7:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","AY.VAV1-7:RM STPT DIAL","","","55.0","DEG F"," -N-     OVRD"
" 14","AY.VAV1-7:STPT DIAL","","","NO",""," -N-     NONE"
" 19","AY.VAV1-7:DI OVRD SW","","","OFF",""," -N-     NONE"
" 20","AY.VAV1-7:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","AY.VAV1-7:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 29","AY.VAV1-7:DAY.NGT","","","DAY",""," -N-     OVRD"
" 31","AY.VAV1-7:CLG FLOW MIN","","","124.0"," CFM"," -N-     NONE"
" 32","AY.VAV1-7:CLG FLOW MAX","","","640.0"," CFM"," -N-     NONE"
" 35","AY.VAV1-7:AIR VOLUME","","","124.0"," CFM"," -N-     NONE"
" 36","AY.VAV1-7:FLOW COEFF","","","0.58",""," -N-     NONE"
" 41","AY.VAV1-7:DO 1","","","OFF",""," -N-     NONE"
" 42","AY.VAV1-7:DO 2","","","OFF",""," -N-     NONE"
" 48","AY.VAV1-7:DMPR COMD","","","29.6","PCT"," -N-     NONE"
" 49","AY.VAV1-7:DMPR POS","","","30.4","PCT"," -N-     NONE"
" 51","AY.VAV1-7:MTR1 TIMING","","","95.0","SEC"," -N-     NONE"
" 56","AY.VAV1-7:DMPR ROT ANG","","","90.0",""," -N-     NONE"
" 58","AY.VAV1-7:MTR SETUP","","","7.0",""," -N-     NONE"
" 59","AY.VAV1-7:DO DIR. REV","","","0.0",""," -N-     NONE"
" 63","AY.VAV1-7:CLG P GAIN","","","20.0",""," -N-     NONE"
" 64","AY.VAV1-7:CLG I GAIN","","","0.01",""," -N-     NONE"
" 65","AY.VAV1-7:CLG D GAIN","","","0.0",""," -N-     NONE"
" 66","AY.VAV1-7:CLG BIAS","","","0.0","PCT"," -N-     NONE"
" 71","AY.VAV1-7:FLOW P GAIN","","","0.0",""," -N-     NONE"
" 72","AY.VAV1-7:FLOW I GAIN","","","0.01",""," -N-     NONE"
" 73","AY.VAV1-7:FLOW D GAIN","","","0.0",""," -N-     NONE"
" 74","AY.VAV1-7:FLOW BIAS","","","50.0","PCT"," -N-     NONE"
" 75","AY.VAV1-7:FLOW","","","19.25","PCT"," -N-     NONE"
" 76","AY.VAV1-7:CTL FLOW MIN","","","124.0"," CFM"," -N-     NONE"
" 77","AY.VAV1-7:CTL FLOW MAX","","","640.0"," CFM"," -N-     NONE"
" 78","AY.VAV1-7:CTL TEMP","","","70.25","DEG F"," -N-     NONE"
" 79","AY.VAV1-7:CLG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 92","AY.VAV1-7:CTL STPT","","","72.0","DEG F"," -N-     OPER"
" 93","AY.VAV1-7:FLOW STPT","","","19.25","PCT"," -N-     NONE"
" 94","AY.VAV1-7:CAL AIR","","","NO",""," -N-     NONE"
" 95","AY.VAV1-7:CAL SETUP","","","4.0",""," -N-     NONE"
" 96","AY.VAV1-7:CAL TIMER","","","12.0","HRS"," -N-     NONE"
" 97","AY.VAV1-7:DUCT AREA","","","0.55","SQ. FT"," -N-     NONE"
" 98","AY.VAV1-7:LOOP TIME","","","5.0","SEC"," -N-     NONE"
" 99","AY.VAV1-7:ERROR STATUS","","","0.0",""," -N-     NONE"
""
"TEC System Name:","AY.VAV1-8","","Descriptor:",""
"","AY.VAV1-8:ADDRESS","","","22",""," -N-     NONE"
"  2","AY.VAV1-8:APPLICATION","","","2520.0",""," -N-     NONE"
"  3","AY.VAV1-8:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","AY.VAV1-8:ROOM TEMP","","","71.5","DEG F"," -N-     OVRD"
"  6","AY.VAV1-8:DAY CLG STPT","","","71.0","DEG F"," -N-     NONE"
"  8","AY.VAV1-8:NGT CLG STPT","","","73.0","DEG F"," -N-     NONE"
" 10","AY.VAV1-8:CHK OUT","","","NO",""," -N-     NONE"
" 11","AY.VAV1-8:RM STPT MIN","","","68.0","DEG F"," -N-     NONE"
" 12","AY.VAV1-8:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","AY.VAV1-8:RM STPT DIAL","","","68.0","DEG F"," -N-     OVRD"
" 14","AY.VAV1-8:STPT DIAL","","","YES",""," -N-     NONE"
" 19","AY.VAV1-8:DI OVRD SW","","","OFF",""," -N-     OVRD"
" 20","AY.VAV1-8:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","AY.VAV1-8:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 29","AY.VAV1-8:DAY.NGT","","","DAY",""," -N-     OVRD"
" 31","AY.VAV1-8:CLG FLOW MIN","","","100.0"," CFM"," -N-     NONE"
" 32","AY.VAV1-8:CLG FLOW MAX","","","1020.0"," CFM"," -N-     NONE"
" 35","AY.VAV1-8:AIR VOLUME","","","1020.0"," CFM"," -N-     NONE"
" 36","AY.VAV1-8:FLOW COEFF","","","0.54",""," -N-     NONE"
" 41","AY.VAV1-8:DO 1","","","OFF",""," -N-     NONE"
" 42","AY.VAV1-8:DO 2","","","OFF",""," -N-     NONE"
" 48","AY.VAV1-8:DMPR COMD","","","86.8","PCT"," -N-     NONE"
" 49","AY.VAV1-8:DMPR POS","","","87.6","PCT"," -N-     NONE"
" 51","AY.VAV1-8:MTR1 TIMING","","","95.0","SEC"," -N-     NONE"
" 56","AY.VAV1-8:DMPR ROT ANG","","","90.0",""," -N-     NONE"
" 58","AY.VAV1-8:MTR SETUP","","","7.0",""," -N-     NONE"
" 59","AY.VAV1-8:DO DIR. REV","","","0.0",""," -N-     NONE"
" 63","AY.VAV1-8:CLG P GAIN","","","20.0",""," -N-     NONE"
" 64","AY.VAV1-8:CLG I GAIN","","","0.01",""," -N-     NONE"
" 65","AY.VAV1-8:CLG D GAIN","","","0.0",""," -N-     NONE"
" 66","AY.VAV1-8:CLG BIAS","","","0.0","PCT"," -N-     NONE"
" 71","AY.VAV1-8:FLOW P GAIN","","","0.0",""," -N-     NONE"
" 72","AY.VAV1-8:FLOW I GAIN","","","0.01",""," -N-     NONE"
" 73","AY.VAV1-8:FLOW D GAIN","","","0.0",""," -N-     NONE"
" 74","AY.VAV1-8:FLOW BIAS","","","50.0","PCT"," -N-     NONE"
" 75","AY.VAV1-8:FLOW","","","100.0","PCT"," -N-     NONE"
" 76","AY.VAV1-8:CTL FLOW MIN","","","100.0"," CFM"," -N-     NONE"
" 77","AY.VAV1-8:CTL FLOW MAX","","","1020.0"," CFM"," -N-     NONE"
" 78","AY.VAV1-8:CTL TEMP","","","71.5","DEG F"," -N-     NONE"
" 79","AY.VAV1-8:CLG LOOPOUT","","","100.0","PCT"," -N-     NONE"
" 92","AY.VAV1-8:CTL STPT","","","68.0","DEG F"," -N-     NONE"
" 93","AY.VAV1-8:FLOW STPT","","","100.0","PCT"," -N-     NONE"
" 94","AY.VAV1-8:CAL AIR","","","NO",""," -N-     NONE"
" 95","AY.VAV1-8:CAL SETUP","","","4.0",""," -N-     NONE"
" 96","AY.VAV1-8:CAL TIMER","","","12.0","HRS"," -N-     NONE"
" 97","AY.VAV1-8:DUCT AREA","","","0.55","SQ. FT"," -N-     NONE"
" 98","AY.VAV1-8:LOOP TIME","","","5.0","SEC"," -N-     NONE"
" 99","AY.VAV1-8:ERROR STATUS","","","0.0",""," -N-     NONE"
""
"TEC System Name:","AY.VAV1-9","","Descriptor:",""
"","AY.VAV1-9:ADDRESS","","","23",""," -N-     NONE"
"  2","AY.VAV1-9:APPLICATION","","","2523.0",""," -N-     NONE"
"  3","AY.VAV1-9:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","AY.VAV1-9:ROOM TEMP","","","71.5","DEG F"," -N-     OVRD"
"  5","AY.VAV1-9:HEAT.COOL","","","COOL",""," -N-     OVRD"
"  6","AY.VAV1-9:DAY CLG STPT","","","73.0","DEG F"," -N-     NONE"
"  7","AY.VAV1-9:DAY HTG STPT","","","72.0","DEG F"," -N-     NONE"
"  8","AY.VAV1-9:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
"  9","AY.VAV1-9:NGT HTG STPT","","","65.0","DEG F"," -N-     NONE"
" 10","AY.VAV1-9:CHK OUT","","","NO",""," -N-     NONE"
" 11","AY.VAV1-9:RM STPT MIN","","","55.0","DEG F"," -N-     NONE"
" 12","AY.VAV1-9:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","AY.VAV1-9:RM STPT DIAL","","","57.0","DEG F"," -N-     OVRD"
" 14","AY.VAV1-9:STPT DIAL","","","NO",""," -N-     NONE"
" 15","AY.VAV1-9:AI 3","","","62.0","DEG F"," -N-     NONE"
" 16","AY.VAV1-9:FLOW START","","","50.0","PCT"," -N-     NONE"
" 17","AY.VAV1-9:FLOW END","","","100.0","PCT"," -N-     NONE"
" 18","AY.VAV1-9:WALL SWITCH","","","NO",""," -N-     NONE"
" 19","AY.VAV1-9:DI OVRD SW","","","OFF",""," -N-     OVRD"
" 20","AY.VAV1-9:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","AY.VAV1-9:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 22","AY.VAV1-9:REHEAT START","","","24.8","PCT"," -N-     NONE"
" 23","AY.VAV1-9:REHEAT END","","","74.8","PCT"," -N-     NONE"
" 24","AY.VAV1-9:DI 4","","","OFF",""," -N-     NONE"
" 25","AY.VAV1-9:DI 3","","","OFF",""," -N-     NONE"
" 29","AY.VAV1-9:DAY.NGT","","","DAY",""," -N-     OPER"
" 31","AY.VAV1-9:CLG FLOW MIN","","","400.0"," CFM"," -N-     NONE"
" 32","AY.VAV1-9:CLG FLOW MAX","","","2000.0"," CFM"," -N-     NONE"
" 33","AY.VAV1-9:HTG FLOW MIN","","","876.0"," CFM"," -N-     NONE"
" 34","AY.VAV1-9:HTG FLOW MAX","","","1400.0"," CFM"," -N-     NONE"
" 35","AY.VAV1-9:AIR VOLUME","","","440.0"," CFM"," -N-     NONE"
" 36","AY.VAV1-9:FLOW COEFF","","","0.63",""," -N-     NONE"
" 40","AY.VAV1-9:AI 4","","","74.0","DEG F"," *F*     NONE"
" 41","AY.VAV1-9:DO 1","","","ON",""," -N-     NONE"
" 42","AY.VAV1-9:DO 2","","","OFF",""," -N-     NONE"
" 43","AY.VAV1-9:DO 3","","","OFF",""," -N-     NONE"
" 44","AY.VAV1-9:DO 4","","","OFF",""," -N-     NONE"
" 48","AY.VAV1-9:DMPR COMD","","","41.6","PCT"," -N-     NONE"
" 49","AY.VAV1-9:DMPR POS","","","42.4","PCT"," -N-     NONE"
" 51","AY.VAV1-9:MTR1 TIMING","","","95.0","SEC"," -N-     NONE"
" 52","AY.VAV1-9:VLV COMD","","","0.0","PCT"," -N-     NONE"
" 53","AY.VAV1-9:VLV POS","","","0.0","PCT"," -N-     NONE"
" 55","AY.VAV1-9:MTR2 TIMING","","","130.0","SEC"," -N-     NONE"
" 56","AY.VAV1-9:DMPR ROT ANG","","","90.0",""," -N-     NONE"
" 58","AY.VAV1-9:MTR SETUP","","","7.0",""," -N-     NONE"
" 59","AY.VAV1-9:DO DIR. REV","","","0.0",""," -N-     NONE"
" 63","AY.VAV1-9:CLG P GAIN","","","20.0",""," -N-     NONE"
" 64","AY.VAV1-9:CLG I GAIN","","","0.01",""," -N-     NONE"
" 65","AY.VAV1-9:CLG D GAIN","","","0.0",""," -N-     NONE"
" 66","AY.VAV1-9:CLG BIAS","","","0.0","PCT"," -N-     NONE"
" 67","AY.VAV1-9:HTG P GAIN","","","10.0",""," -N-     NONE"
" 68","AY.VAV1-9:HTG I GAIN","","","0.01",""," -N-     NONE"
" 69","AY.VAV1-9:HTG D GAIN","","","0.0",""," -N-     NONE"
" 70","AY.VAV1-9:HTG BIAS","","","0.0","PCT"," -N-     NONE"
" 71","AY.VAV1-9:FLOW P GAIN","","","0.0",""," -N-     NONE"
" 72","AY.VAV1-9:FLOW I GAIN","","","0.01",""," -N-     NONE"
" 73","AY.VAV1-9:FLOW D GAIN","","","0.0",""," -N-     NONE"
" 74","AY.VAV1-9:FLOW BIAS","","","50.0","PCT"," -N-     NONE"
" 75","AY.VAV1-9:FLOW","","","21.5","PCT"," -N-     NONE"
" 76","AY.VAV1-9:CTL FLOW MIN","","","400.0"," CFM"," -N-     NONE"
" 77","AY.VAV1-9:CTL FLOW MAX","","","2000.0"," CFM"," -N-     NONE"
" 78","AY.VAV1-9:CTL TEMP","","","71.5","DEG F"," -N-     NONE"
" 79","AY.VAV1-9:CLG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 80","AY.VAV1-9:HTG LOOPOUT","","","0.0","PCT"," -N-     NONE"
" 85","AY.VAV1-9:SWITCH LIMIT","","","5.2","PCT"," -N-     NONE"
" 86","AY.VAV1-9:SWITCH TIME","","","10.0","MIN"," -N-     NONE"
" 90","AY.VAV1-9:SWITCH DBAND","","","1.0","DEG F"," -N-     NONE"
" 92","AY.VAV1-9:CTL STPT","","","73.0","DEG F"," -N-     NONE"
" 93","AY.VAV1-9:FLOW STPT","","","20.0","PCT"," -N-     NONE"
" 94","AY.VAV1-9:CAL AIR","","","NO",""," -N-     NONE"
" 95","AY.VAV1-9:CAL SETUP","","","4.0",""," -N-     NONE"
" 96","AY.VAV1-9:CAL TIMER","","","12.0","HRS"," -N-     NONE"
" 97","AY.VAV1-9:DUCT AREA","","","1.4","SQ. FT"," -N-     NONE"
" 98","AY.VAV1-9:LOOP TIME","","","5.0","SEC"," -N-     NONE"
" 99","AY.VAV1-9:ERROR STATUS","","","0.0",""," -N-     NONE"
""
"TEC System Name:","DHCD.UNKNOWN","","Descriptor:",""
"","DHCD.UNKNOWN:ADDRESS","","","1",""," -N-     NONE"
"  2","DHCD.UNKNOWN:APPLICATION","","","2523.0",""," -N-     NONE"
"  3","DHCD.UNKNOWN:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","DHCD.UNKNOWN:ROOM TEMP","","","70.25","DEG F"," -N-     NONE"
"  5","DHCD.UNKNOWN:HEAT.COOL","","","HEAT",""," -N-     NONE"
"  6","DHCD.UNKNOWN:DAY CLG STPT","","","75.0","DEG F"," -N-     NONE"
"  7","DHCD.UNKNOWN:DAY HTG STPT","","","69.0","DEG F"," -N-     NONE"
"  8","DHCD.UNKNOWN:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
"  9","DHCD.UNKNOWN:NGT HTG STPT","","","65.0","DEG F"," -N-     NONE"
" 10","DHCD.UNKNOWN:CHK OUT","","","NO",""," -N-     NONE"
" 11","DHCD.UNKNOWN:RM STPT MIN","","","55.0","DEG F"," -N-     NONE"
" 12","DHCD.UNKNOWN:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","DHCD.UNKNOWN:RM STPT DIAL","","","65.0","DEG F"," -N-     NONE"
" 14","DHCD.UNKNOWN:STPT DIAL","","","NO",""," -N-     NONE"
" 15","DHCD.UNKNOWN:AI 3","","","68.5","DEG F"," -N-     NONE"
" 16","DHCD.UNKNOWN:FLOW START","","","50.0","PCT"," -N-     NONE"
" 17","DHCD.UNKNOWN:FLOW END","","","100.0","PCT"," -N-     NONE"
" 18","DHCD.UNKNOWN:WALL SWITCH","","","NO",""," -N-     NONE"
" 19","DHCD.UNKNOWN:DI OVRD SW","","","OFF",""," -N-     NONE"
" 20","DHCD.UNKNOWN:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","DHCD.UNKNOWN:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 22","DHCD.UNKNOWN:REHEAT START","","","24.8","PCT"," -N-     NONE"
" 23","DHCD.UNKNOWN:REHEAT END","","","74.8","PCT"," -N-     NONE"
" 24","DHCD.UNKNOWN:DI 4","","","OFF",""," -N-     NONE"
" 25","DHCD.UNKNOWN:DI 3","","","OFF",""," -N-     NONE"
" 29","DHCD.UNKNOWN:DAY.NGT","","","DAY",""," -N-     OPER"
" 31","DHCD.UNKNOWN:CLG FLOW MIN","","","76.0"," CFM"," -N-     NONE"
" 32","DHCD.UNKNOWN:CLG FLOW MAX","","","372.0"," CFM"," -N-     NONE"
" 33","DHCD.UNKNOWN:HTG FLOW MIN","","","24.0"," CFM"," -N-     NONE"
" 34","DHCD.UNKNOWN:HTG FLOW MAX","","","100.0"," CFM"," -N-     NONE"
" 35","DHCD.UNKNOWN:AIR VOLUME","","","24.0"," CFM"," -N-     NONE"
" 36","DHCD.UNKNOWN:FLOW COEFF","","","0.86",""," -N-     NONE"
" 40","DHCD.UNKNOWN:AI 4","","","74.0","DEG F"," *F*     NONE"
" 41","DHCD.UNKNOWN:DO 1","","","OFF",""," -N-     NONE"
" 42","DHCD.UNKNOWN:DO 2","","","OFF",""," -N-     NONE"
